customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,corporate,7,0,1.0,36.0,1.8341864938611563,42.28945250159525,37.0,44.1236389954564,604.9254542655598,52.906906344359456,552.0185479212004,1,5,10,0.7650156704054301,2.067609920014676,56.442299785921456,68.18325204537793,17.280329970764896,14.230054668739541,16.432091737040487,335,5,4,35,1861.1800402708748,21,1116.708024162525,14,744.4720161083499,19,16,27.0,8.0,128,28,999,180,-2.324465954798156,0.43557729953470464,4.571428571428571,1.0,1.9691583797707024,30K_to_50K,-1.3414767695145269
10001,individual,9,1,87.0,42.0,120.13118156404754,53.363281106635874,129.0,173.49446267068342,9663.50697081587,532.7515997711183,9130.755371044752,4,3,14,8.815012780573786,6.833343240754873,13.160099396680092,15.897622483658614,67.70728254834744,86.17005207247252,99.50448073477747,418,4,5,44,2339.7691934833856,32,1701.6503225333713,12,638.1188709500143,24,20,15.0,29.0,2999,700,99,15,-3.3790155407897977,1.0911172338915043,4.284285714285715,4.0,7.864182105156145,10K_to_20K,28.669296917614346
10002,corporate,5,0,76.0,37.0,91.00988745428158,48.66584605777866,113.0,139.67573351206025,16056.82528750095,282.42733575077165,15774.397951750178,4,4,14,2.489401909707148,2.2030105395638477,39.610132331427444,47.849709288035505,49.92189777750083,32.22179947424006,37.207978269849804,226,2,1,25,1329.4143144791963,10,531.7657257916785,15,797.6485886875178,14,11,17.0,8.0,999,180,99,15,-8.332120895665843,0.5016903943494728,5.55,3.0,17.422770494250162,20K_to_30K,-10.636750131483385
10003,individual,2,0,42.0,97.0,67.83285222332859,173.68312856151076,139.0,241.51598078483934,36737.038874580074,111.14706701889027,36625.89180756118,5,6,14,6.887889065618659,4.955315874545798,52.2209212833166,63.08375547075676,82.00106782417741,64.3620482638919,74.32178625282671,417,6,10,43,2286.5926209042177,19,1010.3548790041892,24,1276.2377419000286,23,20,29.0,14.0,1500,365,300,90,-0.8023765833925508,6.104087731546127,4.109589041095891,3.0,39.86223836217456,50K_above,-1.3473245510040766
10004,individual,5,0,50.0,65.0,55.5590922407075,72.06603488131769,115.0,127.62512712202519,10820.602880045371,533.8795710237148,10286.723309021656,4,1,4,3.8182709704943165,3.320235626516797,24.99950694425604,30.199826893225833,27.837932552224622,67.69579618468201,78.17141669612587,622,8,8,65,3456.4772176459105,34,1808.003467691707,31,1648.4737499542034,34,31,46.0,19.0,1500,365,1500,365,0.10725880866691684,0.23502189668469792,4.109589041095891,3.0,11.741105555604786,20K_to_30K,-4.213534661710084
10005,individual,10,0,38.0,21.0,44.08537842964265,34.18167406170504,59.0,78.2670524913477,2111.3277603712586,1218.8112859277226,892.516474443536,2,4,4,2.1056468299157887,3.5688929320606584,18.869477879610823,22.79464818248075,47.2395131489602,78.9723599278601,91.19297804778722,339,8,8,37,1967.5331854292106,10,531.7657257916785,27,1435.767459637532,20,17,28.0,9.0,99,15,128,28,-0.6705186075837164,5.074807885170582,6.6,0.5,13.745623439917047,30K_to_50K,0.2066578971431685
10006,individual,6,0,2.0,136.0,3.4259213806154625,267.60087481169353,138.0,271.026796192309,3903.192441561504,706.4524079019845,3196.740033659519,5,1,10,5.05289342422214,3.6615169740740146,4.989743431373,6.027694394336769,50.05188345190062,76.75597904573388,88.63362217550605,495,6,5,51,2712.0052015375604,13,691.2954435291821,38,2020.7097580083782,27,24,1.0,50.0,300,90,500,120,-2.157250643930414,1.36475192157268,3.3333333333333335,1.5,8.47046970824979,50K_above,-3.556758506749258
10007,individual,2,0,287.0,23.0,471.91599634964194,23.67063493936393,310.0,495.5866312890059,4056.972889033542,830.482227587393,3226.490661446149,11,6,4,18.254638964699097,5.888593214419064,5.70455799712974,6.891202470505842,19.544476479897554,86.41262393844171,99.78458950787919,724,1,1,75,3988.242943437589,28,1488.9440322167,47,2499.298911220889,39,36,10.0,65.0,500,120,1500,365,-2.821059297211081,1.0353833188693615,4.166666666666667,2.0,6.603145978244697,30K_to_50K,4.4824209013988
10008,individual,2,0,10.0,88.0,14.223682920324537,147.711483251421,98.0,161.93516617174552,3548.944672634033,1993.1533966158129,1555.79127601822,3,6,5,2.255135294890003,2.3011584641734726,61.37654765768309,74.14390686580057,52.39140615384758,73.31590424491279,84.6612112448894,464,8,10,49,2605.6520563792246,10,531.7657257916785,39,2073.886330587546,26,23,38.0,11.0,99,15,128,28,1.1463105055207572,1.225572067457189,6.6,0.5,23.105108545794486,10K_to_20K,7.262709358633456
10009,individual,2,1,9.0,15.0,17.716452887899585,22.0749075640717,24.0,39.791360451971286,10204.310655502104,972.7316943054547,9231.57896119665,1,9,7,0.7913016189973942,3.2970900791558093,62.19120451958446,75.12802612309868,36.41864726895739,47.35896511853899,54.68755233306947,585,2,1,61,3243.770927329239,42,2233.41604832505,19,1010.3548790041891,32,29,28.0,33.0,999,180,1500,365,-2.971586853811287,5.10499185966692,5.55,3.0,11.072385693904193,30K_to_50K,6.948173812234851
10010,individual,7,0,18.0,104.0,25.180055461354108,121.49773034974689,122.0,146.677785811101,15969.980232373495,403.30596415298226,15566.674268220513,5,3,5,2.8936382674697962,2.371834645467046,21.109872806626438,25.501083118145694,32.24665599650803,55.491374499234965,64.07841555162952,308,1,10,33,1754.8268951125392,19,1010.3548790041892,14,744.47201610835,18,15,11.0,22.0,128,28,500,120,-0.4512238899060999,10.54984270786106,4.571428571428571,1.0,51.985612735590806,50K_above,-3.612177296137207
10011,corporate,7,0,18.0,67.0,18.022436575347044,113.72900035815367,85.0,131.7514369335007,19651.852524514856,1252.5564480332082,18399.29607648165,3,6,10,5.120329767849028,6.023917373940033,4.723055054938494,5.70553032843274,79.64568964842846,79.15368395426438,91.40236115314873,433,5,2,45,2392.9457660625535,17,904.0017338458536,28,1488.9440322167,24,21,18.0,27.0,500,120,300,90,2.6809031614244407,4.28116440503062,4.166666666666667,2.0,31.98543705161923,10K_to_20K,-1.176301383794959
10012,individual,6,0,109.0,115.0,189.86158806196843,152.08801430105314,224.0,341.94960236302154,18636.909797223143,1048.140706887708,17588.769090335434,8,3,10,6.991469844159915,3.1211918947142476,41.42844003074563,50.046255719150054,20.553162718596553,85.35665991757104,98.56521979596381,483,2,8,51,2712.0052015375604,21,1116.708024162525,30,1595.2971773750355,27,24,10.0,41.0,2999,700,500,120,0.7818229917599343,2.5348552752892384,4.284285714285715,4.0,15.166756019875605,50K_above,-2.204790114769252
10013,individual,9,0,31.0,37.0,58.57535894136222,73.64684537014637,68.0,132.2222043115086,29051.3535233148,2509.3999960094293,26541.95352730537,2,9,14,3.0508784223880765,4.486585915276583,26.648886105687907,32.19230479559426,90.49996060910446,19.398571822878427,22.40041371459761,246,6,7,27,1435.767459637532,18,957.1783064250213,9,478.5891532125107,15,12,10.0,17.0,1500,365,300,90,3.205121858427887,0.657222460618359,4.109589041095891,3.0,31.522736027902344,less_10K,29.449051947377598
10014,individual,1,0,41.0,133.0,77.05809641054107,152.4652142070194,174.0,229.52331061756047,3184.2439212537747,2981.3542260621034,202.88969519167128,6,4,7,5.47187307522286,3.1447546409326783,22.902743860966932,27.666901652234767,41.43263304134741,77.04771563778692,88.97050369530781,285,1,4,31,1648.4737499542034,16,850.8251612666857,15,797.6485886875178,17,14,8.0,23.0,128,28,128,28,-4.645196074702504,5.539326476312103,4.571428571428571,1.0,10.365377347831298,30K_to_50K,-1.526525193536397
10015,corporate,5,1,16.0,4.0,23.56188761385988,6.646183734792363,20.0,30.208071348652243,707.4985326460146,401.4703872794288,306.0281453665859,1,4,4,0.35904002116462563,1.7952001058231284,1.6905659217500526,2.042232204910299,69.54345746311148,72.30682402939064,83.49598039669608,1109,1,6,113,6008.952701445967,63,3350.1240724875747,50,2658.8286289583925,58,55,28.0,85.0,128,28,2999,700,3.899234136170508,3.6345592165260467,4.571428571428571,1.0,2.3030551192904123,20K_to_30K,5.286137359697685
10016,individual,10,0,23.0,81.0,41.050599046195366,159.71292694981244,104.0,200.76352599600781,37337.61676646638,152.0628500778246,37185.553916388555,4,3,7,2.60440009144532,2.5042308571589613,14.623334312650089,17.66523499157533,76.38631310616113,0.8077339165405595,0.9327271134713877,300,6,2,33,1754.8268951125392,15,797.6485886875178,18,957.1783064250214,18,15,21.0,12.0,1500,365,500,120,4.839452465344522,1.022885295425036,4.109589041095891,3.0,40.51390708166925,50K_above,-6.986414128625463
10017,corporate,7,0,54.0,56.0,94.64002782107694,71.32787454483801,110.0,165.96790236591494,20051.16869608379,111.56579907379535,19939.602897009994,4,5,8,5.807156998567089,5.27923363506099,32.13481800221687,38.819403241680476,64.50138660455677,56.393836155424324,65.12052909714119,325,3,9,35,1861.1800402708748,23,1223.0611693208607,12,638.1188709500141,19,16,32.0,3.0,2999,700,999,180,-1.189667268317776,3.58519670841942,4.284285714285715,4.0,16.317682858141104,30K_to_50K,-2.8998334408837056
10018,individual,4,0,145.0,35.0,250.57807304393026,52.80339618649993,180.0,303.3814692304302,2989.1751688213626,72.27796210923401,2916.8972067121285,6,10,8,8.39983282469933,4.666573791499627,29.263077400706084,35.35029206115776,44.04078005986817,10.53973187908504,12.170708064909785,595,2,7,61,3243.770927329239,41,2180.239475745882,20,1063.531451583357,32,29,42.0,19.0,128,28,1500,365,-0.6909347678937492,2.1213488171765005,4.571428571428571,1.0,9.730387919340371,50K_above,-1.6095531676599997
10019,corporate,10,0,66.0,9.0,85.79632298072039,15.441275913745518,75.0,101.2375988944659,13494.081846333176,198.0945174066081,13295.987328926569,3,7,5,2.7182548488040963,3.6243397984054617,72.7919283415442,87.93387965772753,38.14045470074805,13.680757907051479,15.797793767775058,887,6,10,91,4839.068104704274,29,1542.1206047958678,62,3296.947499908407,47,44,64.0,27.0,300,90,2999,700,-0.03492330066692184,5.322910250304623,3.3333333333333335,1.5,29.284031784577206,50K_above,-6.173547304524145
10020,individual,9,0,32.0,45.0,53.51460442212863,48.38259975412391,77.0,101.89720417625253,3553.7372718204488,259.4251002725277,3294.312171547921,2,11,4,3.353780490132495,4.355559078094149,30.554439407836377,36.910279190455284,89.05452473604372,41.467763646452056,47.884713884150486,322,1,5,35,1861.1800402708748,25,1329.4143144791963,10,531.7657257916785,19,16,23.0,12.0,500,120,500,120,0.77285719125017,1.418839368344084,4.166666666666667,2.0,5.784077590853595,20K_to_30K,38.557592324988065
10021,corporate,5,0,5.0,219.0,8.120836043537846,386.19693632850334,224.0,394.3177723720412,8727.199335079717,701.8876932614892,8025.311641818228,8,0,,3.3964968554912103,1.5162932390585762,31.54000675616743,38.100861203835834,70.31653168719171,83.04183431647598,95.89218532646146,1121,5,2,115,6115.305846604303,48,2552.475483800057,67,3562.830362804246,59,56,113.0,2.0,2999,700,2999,700,1.6285502498737912,0.5030301998989257,4.284285714285715,4.0,7.102213000553155,10K_to_20K,-4.289168205483695
10022,corporate,5,0,9.0,98.0,15.29732495039087,173.61161963119332,107.0,188.9089445815842,22495.97887997068,1747.2966695914145,20748.682210379266,4,1,12,2.152528452938957,2.0117088345223895,64.93845141468908,78.44674680227489,98.73539100271313,58.53648716910729,67.5947457348781,352,4,10,37,1967.5331854292106,28,1488.9440322167,9,478.5891532125106,20,17,33.0,4.0,99,15,300,90,4.565964439663225,2.46872471134659,6.6,0.5,146.45819583314244,10K_to_20K,-10.089597038206694
10023,corporate,2,0,67.0,32.0,104.39330223384344,36.697867970749385,99.0,141.09117020459283,3151.2687223928788,2117.2877416392334,1033.980980753645,4,9,9,5.357489304588379,5.411605358170079,78.17370622508466,94.43515829586705,38.57908908800252,4.766123804757073,5.503660064069016,316,4,3,33,1754.8268951125392,22,1169.8845967416928,11,584.9422983708464,18,15,14.0,19.0,99,15,500,120,5.101306799113828,0.7150344725720493,6.6,0.5,20.516072411411972,10K_to_20K,13.340460180294686
10024,individual,3,1,4.0,44.0,4.637904713278332,46.18087460097218,48.0,50.81877931425051,5374.970541838448,2.4082186104638517,5372.562323227984,2,5,6,2.270615296184224,4.730448533717134,4.690918774398441,5.666709158420636,64.7539008627122,22.073940908583353,25.48978415414488,209,1,5,23,1223.0611693208607,17,904.0017338458536,6,319.05943547500715,13,10,11.0,12.0,2999,700,99,15,-0.8100679890796705,2.07484274826318,4.284285714285715,4.0,4.374162224803425,20K_to_30K,0.8050986347046063
10025,individual,1,0,200.0,4.0,251.93318096285103,6.421913845812263,204.0,258.3550948086633,14640.86790805802,1966.0313010540979,12674.836607003923,7,5,10,6.394382815454495,3.1345013801247523,46.62061246932693,56.318487775349105,35.76773734231962,38.324993897206504,44.25561462696731,338,1,6,36,1914.3566128500427,11,584.9422983708464,25,1329.4143144791963,20,16,15.0,21.0,999,180,128,28,3.823372059428993,2.7847198239276842,5.55,3.0,15.88635840718101,less_10K,1.8677565403841463
10026,corporate,5,0,59.0,30.0,70.24724396807584,51.25828285541627,89.0,121.5055268234921,1822.3791472831047,246.54180662949938,1575.8373406536052,3,5,7,2.9054799398654283,3.264584202095987,57.39930341100924,69.33932859833895,42.8527543348379,5.9765084178891525,6.901346261563457,433,3,2,45,2392.9457660625535,23,1223.0611693208607,22,1169.8845967416928,24,21,12.0,33.0,99,15,500,120,0.94478515489578,11.200632713675283,6.6,0.5,11.864447573457712,20K_to_30K,1.3241282310262026
10027,individual,3,0,138.0,9.0,173.1659816047931,14.309263118552487,147.0,187.47524472334558,4009.6601605870546,1562.588670136868,2447.0714904501865,5,5,9,4.452254014091483,3.0287442272731173,21.880495090693806,26.432007861213236,83.10328419235503,34.00399597138252,39.26596167302046,787,8,9,81,4307.302378912596,33,1754.8268951125392,48,2552.475483800057,42,39,10.0,71.0,2999,700,2999,700,-0.6383872611618953,7.857649338442124,4.284285714285715,4.0,3.263069792144413,20K_to_30K,-4.356617835686542
10028,individual,8,0,15.0,62.0,23.55156040799432,65.38412144054274,77.0,88.93568184853706,20819.459907795397,813.333754651184,20006.126153144214,3,5,13,1.4224696598759592,1.847363194644103,22.61540641200454,27.31979315773707,67.09160931191472,77.88337601902852,89.93547876850536,473,8,2,49,2605.6520563792246,20,1063.531451583357,29,1542.1206047958676,26,23,5.0,44.0,999,180,500,120,2.7043658071180197,2.2069817823391413,5.55,3.0,22.590559795784937,30K_to_50K,-2.3966571129594003
10029,individual,10,0,8.0,93.0,14.807737296547913,166.31554518535523,101.0,181.12328248190315,2421.494851898378,2119.913812978464,301.5810389199135,4,5,5,3.6409559914070244,3.604906922185173,53.329697630115426,64.42317603658202,17.946887784539932,35.750530497051436,41.28276457475114,193,6,5,21,1116.708024162525,7,372.236008054175,14,744.4720161083499,12,9,16.0,5.0,128,28,99,15,0.999518537681086,10.64574643918484,4.571428571428571,1.0,7.8824702210233655,10K_to_20K,0.7354318656875591
10030,individual,8,1,15.0,61.0,21.47561938030948,74.44170343801623,76.0,95.91732281832572,14507.959883122536,2664.615181795945,11843.34470132659,3,6,8,1.644882084513922,2.1643185322551606,24.03315298141881,29.032454974237943,64.04745112635345,20.119239958897996,23.232602008930037,444,5,6,47,2499.2989112208893,21,1116.708024162525,26,1382.5908870583644,25,22,1.0,46.0,500,120,99,15,-0.13940602733655064,1.667411716512837,4.166666666666667,2.0,23.613215955603085,less_10K,-5.610482946677589
10031,individual,1,0,8.0,34.0,11.274903773571113,45.44780104603403,42.0,56.72270481960514,12995.94886659882,881.0852229515062,12114.863643647313,1,1,4,0.5502491229454956,1.3101169593940372,35.78804075321445,43.23255806623474,24.310018681530476,14.417381642655869,16.648406719088825,1098,7,10,112,5955.7761288668,58,3084.2412095917357,54,2871.534919275064,58,54,80.0,32.0,128,28,2999,700,3.360530524340563,1.8670348784032509,4.571428571428571,1.0,42.30452105012637,20K_to_30K,-9.019926342411754
10032,individual,10,0,106.0,24.0,116.73230268959036,28.268177845822898,130.0,145.00048053541326,27792.736219151513,935.9393905512331,26856.79682860028,5,4,6,2.707910904032454,2.083008387717272,70.68597660991554,85.38985437424938,33.96074470244736,33.77551943487855,39.00212941833193,857,1,1,87,4626.361814387603,49,2605.6520563792246,38,2020.7097580083782,45,42,81.0,6.0,1500,365,2999,700,0.2674053943282435,0.30155397787160754,4.109589041095891,3.0,30.157048848905724,30K_to_50K,-5.508513495961194
10033,corporate,8,0,10.0,6.0,19.347393834686173,8.73423463546939,16.0,28.081628470155565,7421.013464645592,1450.2136774032547,5970.799787242337,1,3,8,0.24013587393925012,1.5008492121203132,25.11912083227879,30.344322491493724,66.40956817735092,84.34571001987402,97.39782994067377,243,2,6,27,1435.767459637532,8,425.4125806333428,19,1010.3548790041892,15,12,0.0,27.0,999,180,128,28,-2.892114486336105,1.3702399027245435,5.55,3.0,8.052314957297735,less_10K,0.9805168321162814
10034,corporate,1,0,94.0,31.0,100.62940814002508,54.79516399533576,125.0,155.42457213536085,3941.1825887178093,1847.7673460939418,2093.4152426238675,4,5,7,3.5904767459408147,2.8723813967526515,39.630412936245634,47.87420860140856,60.2646707922804,27.438325241186288,31.68428287660706,353,8,9,37,1967.5331854292106,18,957.1783064250213,19,1010.3548790041892,20,17,2.0,35.0,2999,700,128,28,5.317734227521227,1.071387149689446,4.284285714285715,4.0,3.207342601495613,20K_to_30K,2.267690282234989
10035,individual,3,0,136.0,53.0,253.91005535914488,62.98013697069028,189.0,316.89019232983514,16579.309508457056,5035.80094336053,11543.508565096525,6,4,13,8.63443881893261,4.568486147583392,2.140713821080394,2.5860184750330806,93.66574035100986,10.133818680454956,11.701981621306047,44,3,10,7,372.236008054175,4,212.7062903166714,3,159.52971773750357,5,2,2.0,5.0,99,15,128,28,0.6593039602432621,1.1847878055545644,6.6,0.5,107.93821294568396,less_10K,-11.304636493707765
